id;category;class;value
1;3;1001;89
2;3;1002;41
3;114;1003;469
4;114;1004;230
5;114;1005;364
6;114;1006;239
7;115;1007;17
8;116;1008;16
9;116;1009;22
10;118;1010;537
11;118;1011;397
12;118;1012;132
13;119;1013;10
14;119;1014;16
15;119;1015;5
16;119;1016;14
17;119;1017;3
18;120;1018;49
19;122;1019;5
20;122;1020;8
21;123;1021;124
22;123;1022;2
23;123;1023;32
24;123;1024;22
25;125;1025;19
26;125;1026;132
27;125;1027;4
28;137;1028;236
29;137;1029;134
30;145;1030;197
